Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Cereal,The Coffee Sensorium Flavour Kit - Vial #104: Cereal,Cereal,Roasted,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Vanilla/vanillin,The Coffee Sensorium Flavour Kit - Vial #121: Vanilla,Vanilla/vanillin,Sweet,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Fruity,The Coffee Sensorium Flavour Kit - Vial #141: Banana,Fruity,Fruity,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Citrus Fruit,The Coffee Sensorium Flavour Kit - Vial #189: Lemon,Citrus Fruit,Fruity,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Spice,The Coffee Sensorium Flavour Kit - Vial #283: Cloves,Spice,Spice,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Cocoa,The Coffee Sensorium Flavour Kit - Vial #292: Chocolate,Cocoa,Nutty/Cocoa,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Fruity,The Coffee Sensorium Flavour Kit - Vial #312: Stone Fruits,Fruity,Fruity,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Green/vegetative,The Coffee Sensorium Flavour Kit - Vial #376: Cucumber,Green/vegetative,Green/vegatative,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Fruity,The Coffee Sensorium Flavour Kit - Vial #437: Pineapple,Fruity,Fruity,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Brown Sugar,The Coffee Sensorium Flavour Kit - Vial #594: Caramelized Sugar,Brown Sugar,Sweet,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
Other,The Coffee Sensorium Flavour Kit - Vial #619,Other,Other,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
