Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Burnt,Burnt peanuts,Burnt,Roasted,"Preheat oven to 220°C. Place raw, blanched peanuts in a single layer
on a baking sheet lined with parchment paper. Roast for 20 minutes.
Peanuts will be burnt. Place 1 tablespoon in a medium snifter. Cover.
",
Tobacco,Cigarettes,Tobacco,Roasted,Break cigarette and place 0.1 g tobacco in a medium snifter. Cover. ,"Camel (Turkish and Domestic blends), Marlboro, Pall Mall"
Tobacco,Scentone T100 – Vial #33: Pipe tobacco,Tobacco,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
Fermented,Fermented grass,Fermented,Sour/fermented,Fill 2-ounce glass jars half full with grass and seal tightly with screw-on lids. Leave in airtight container for 2 weeks to ferment. Serve in jar. ,
Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #2: Black Tea",Floral,Floral,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #3: Rose",Floral,Floral,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #4: Jasmine",Floral,Floral,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Berry,"""Le Nez du Café"" (2025, 60 vials) - Vial #5: Raspberry",Berry,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Berry,"""Le Nez du Café"" (2025, 60 vials) - Vial #6: Blueberry",Berry,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Berry,"""Le Nez du Café"" (2025, 60 vials) - Vial #8: Strawberry",Berry,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Dried Fruit,"""Le Nez du Café"" (2025, 60 vials): Vial #9: Raisin",Dried Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Dried Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #10: Prune",Dried Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #11: Cherry",Fruity,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #12: Pineapple",Fruity,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #16: Apple",Fruity,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Fruity,"""Le Nez du Café"" (2025, 60 vials) - Vial #17: Peach",Fruity,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Citrus Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #18: Orange",Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Citrus Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #19: Lemon",Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Citrus Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #20: Lime",Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Fermented,"""Le Nez du Café"" (2025, 60 vials) - Vial #22: Winey",Fermented,Sour/fermented,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Green/vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #24: Peapod",Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Green/vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #25: Grass (Fresh)",Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Green/vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #26: Cucumber",Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Green/vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #27: Green (Bell) Pepper",Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Green/vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #28: Hay-like",Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Green/vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #29: Thyme",Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Woody,"""Le Nez du Café"" (2025, 60 vials) - Vial #33: Cardboard",Woody,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Woody,"""Le Nez du Café"" (2025, 60 vials) - Vial #34: Woody",Woody,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Musty/earthy,"""Le Nez du Café"" (2025, 60 vials) - Vial #35; Moldy/Damp",Musty/earthy,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Musty/earthy,"""Le Nez du Café"" (2025, 60 vials) - Vial #36: Musty/Earthy",Musty/earthy,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
Chemical,"""Le Nez du Café"" (2025, 60 vials) - Vial #38: Medicinal",Chemical,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
